created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2026-07-05T06:37:12-05:00,1,19.4,61.600004,0,0,0,,,,
2026-07-05T06:37:46-05:00,2,19.4,61.7,0,0,0,,,,
2026-07-05T06:38:19-05:00,3,19.4,61.5,0,0,0,,,,
2026-07-05T06:38:54-05:00,4,19.4,61.9,0,0,0,,,,
2026-07-05T06:39:27-05:00,5,19.4,61.9,0,0,0,,,,
2026-07-05T06:40:01-05:00,6,19.5,62.100004,0,0,0,,,,
2026-07-05T06:40:35-05:00,7,19.4,62.0,0,0,0,,,,
2026-07-05T06:41:04-05:00,8,,,1,0,1,,,,
2026-07-05T06:41:33-05:00,9,,,0,0,0,,,,
2026-07-05T06:42:19-05:00,10,19.6,61.100004,0,0,0,,,,
2026-07-05T07:45:01-05:00,11,19.6,60.7,0,0,0,,,,
2026-07-05T07:45:23-05:00,12,,,1,1,0,,,,
2026-07-05T07:46:13-05:00,13,19.9,59.9,1,1,0,,,,
2026-07-05T07:46:48-05:00,14,20.2,59.4,1,1,0,,,,
2026-07-05T07:47:22-05:00,15,20.300002,58.600004,1,1,0,,,,
2026-07-05T07:47:57-05:00,16,20.5,58.8,1,1,0,,,,
2026-07-05T07:48:35-05:00,17,20.6,58.100004,1,1,0,,,,
2026-07-05T07:49:10-05:00,18,20.800002,58.0,1,1,0,,,,
2026-07-05T08:17:05-05:00,19,21.300002,57.9,1,1,0,,,,
2026-07-05T08:17:39-05:00,20,21.300002,57.9,1,1,0,,,,
2026-07-05T08:18:12-05:00,21,21.300002,57.8,1,1,0,,,,
2026-07-05T12:26:38-05:00,22,20.6,62.3,1,1,0,,,,
2026-07-05T12:27:11-05:00,23,20.800002,62.0,1,1,0,,,,
2026-07-05T12:27:45-05:00,24,21.0,61.4,1,1,0,,,,
2026-07-05T12:28:19-05:00,25,21.1,61.4,1,1,0,,,,
2026-07-05T12:28:52-05:00,26,21.2,61.3,1,1,0,,,,
2026-07-05T12:29:26-05:00,27,21.2,61.2,1,1,0,,,,
2026-07-05T12:30:03-05:00,28,21.4,60.7,1,1,0,,,,
2026-07-05T12:30:37-05:00,29,21.4,60.8,1,1,0,,,,
2026-07-05T12:31:12-05:00,30,21.5,60.600004,1,1,0,,,,
2026-07-05T12:31:45-05:00,31,,,0,0,0,,,,
2026-07-05T12:32:20-05:00,32,21.6,60.0,0,0,0,,,,
2026-07-05T12:32:54-05:00,33,21.4,60.8,0,0,0,,,,
2026-07-05T12:33:28-05:00,34,21.4,60.4,0,0,0,,,,
2026-07-05T12:34:01-05:00,35,21.4,60.7,0,0,0,,,,
2026-07-05T12:34:35-05:00,36,21.300002,60.7,0,0,0,,,,
2026-07-05T12:35:10-05:00,37,21.300002,60.600004,0,0,0,,,,
2026-07-05T12:35:43-05:00,38,21.300002,60.5,0,0,0,,,,
2026-07-05T12:36:17-05:00,39,21.300002,60.5,0,0,0,,,,
2026-07-05T12:36:51-05:00,40,21.300002,60.8,0,0,0,,,,
2026-07-05T12:37:27-05:00,41,21.300002,60.9,0,0,0,,,,
2026-07-05T12:38:00-05:00,42,21.300002,60.7,0,0,0,,,,
2026-07-05T12:38:39-05:00,43,21.300002,60.8,0,0,0,,,,
2026-07-05T12:39:13-05:00,44,21.300002,61.0,0,0,0,,,,
2026-07-05T12:39:47-05:00,45,21.2,60.8,0,0,0,,,,
2026-07-05T12:40:21-05:00,46,21.300002,60.7,0,0,0,,,,
2026-07-05T12:40:55-05:00,47,21.2,60.7,0,0,0,,,,
2026-07-05T12:41:30-05:00,48,21.300002,61.100004,0,0,0,,,,
2026-07-05T12:42:04-05:00,49,21.2,61.4,0,0,0,,,,
2026-07-05T12:42:38-05:00,50,21.300002,60.9,0,0,0,,,,
2026-07-05T12:43:11-05:00,51,21.300002,61.2,0,0,0,,,,
2026-07-05T12:43:46-05:00,52,21.300002,61.0,0,0,0,,,,
2026-07-05T12:44:19-05:00,53,21.300002,61.2,0,0,0,,,,
2026-07-05T12:44:53-05:00,54,21.300002,60.9,0,0,0,,,,
